,,,,,,,,,,,,,,,,,,
Area,SHIPPER,INISIAL SHIPPER,Concat,Jenis Perjanjian,Status Perjanjian,NO. PERJANJIAN (TRANSPORTER),SEGMEN BISNIS,Priority,TGL PERJANJIAN,Start,End,Status,Target KPI (TW),Realisasi (TW),PIC,Attachement,Keterangan,
ONSA,PT PERTAGAS NIAGA (BELKIMKEK),PTGN BELKIMKEK,ONSA PTGN BELKIMKEK ,AMD-II,EXISTING,206/PG0000/2020-S0,TRANSP. GAS,,8/26/2020,8/7/2020,12/31/2036,DONE,,,,,,
ONSA,PT PGN (ARBEL),PGN ARBEL,ONSA PGN ARBEL ,AMD-III,EXISTING,160/PG0000/2025-S0,TRANSP. GAS,,12/15/2025,11/11/2024,12/31/2026,Need Action,,,,,,
ONSA,PT PGN (JARGAS),PGN JARGAS,ONSA PGN JARGAS ,AMD-II,EXISTING,031/PG0000/2022-S0,TRANSP. GAS,,2/21/2022,2/21/2022,9/8/2030,DONE,,,,,,
ORA,PT PERTAMINA HULU ROKAN,PHR,ORA PHR ,OTA,EXISTING,192/PG0000/2022-S0,TRANSP. MINYAK,,11/18/2022,11/1/2021,8/8/2041,Need Follow Up,,,,,,
ORA,PT BUMI SIAK PUSAKO,BSP,ORA BSP ,OTA,BARU,001/PG0000/2025-S0,TRANSP. MINYAK,,1/2/2025,1/1/2025,12/31/2025,Need Follow Up,,,,,,
ORA,PT SPR LANGGAK,SPRL,ORA SPRL ,OTA,EXISTING,035/PG0000/2022-S0,TRANSP. MINYAK,,2/24/2022,12/17/2022,12/31/2040,DONE,,,,,,
ORA,PT APG WESTKAMPAR INDONESIA,APGWI,ORA APGWI ,OTA,EXISTING,019/PG0000/2024-S0,TRANSP. MINYAK,,1/26/2024,12/6/2023,12/31/2027,DONE,,,,,,
ORA,PT EMP ENERGI GANDEWA,EMPG,ORA EMPG ,KB,BARU,165/PG0000/2025-S0,TRANSP. MINYAK,,12/22/2025,1/1/2025,12/31/2026,Need Follow Up,,,,,,
ORA,PT EMP TONGA,EMPT,ORA EMPT ,KB,BARU,166/PG0000/2025-S0,TRANSP. MINYAK,,12/22/2025,11/1/2024,12/31/2026,Need Follow Up,,,,,,
ORA,TEXCAL MAHATO ENERGY INC.,TEXCAL,ORA TEXCAL ,KB,BARU,173/PG0000/2025-S0,TRANSP. MINYAK,,12/23/2025,11/1/2026,12/31/2026,Need Follow Up,,,,,,
OSSA,PT MITRA ENERGI BUANA,MEB,OSSA MEB ,AMD-VI,EXISTING,153/PG0000/2019-S0,TRANSP. GAS,,11/7/2019,1/1/2019,12/31/2027,DONE,,,,,,
OSSA,PT MEDCO E&P LEMATANG,MEDCO,OSSA MEDCO ,AMD-IV,EXISTING,250/PG0000/2020-S0,TRANSP. GAS,,10/27/2020,1/19/2019,12/31/2027,DONE,,,,,,
OSSA,PT SUMSEL ENERGI GEMILANG (PERSERODA),SEG,OSSA SEG ,AMD-III,EXISTING,011/PG0000/2022-S0,TRANSP. GAS,,1/26/2022,1/26/2022,11/27/2033,Terminate,,,,,Sudah tidak mengalir,
OSSA,PT PERTAMINA EP,PEP,OSSA PEP ,AMD-III,EXISTING,296/PG0000/2020-S0,TRANSP. GAS,,12/11/2020,10/1/2020,6/30/2027,DONE,,,,,,
OSSA,PT PUPUK SRIWIDJADJA (Gas TEP),PUSRI-TEP,OSSA PUSRI-TEP ,AMD-II,EXISTING,155/PG0000/2023-S0,TRANSP. GAS,,10/11/2023,5/19/2023,12/31/2027,DONE,,,,,,
OSSA,PT PUPUK SRIWIDJAJA (Grissik-Duri),PUSRI-GRISPUS,OSSA PUSRI-GRISPUS ,AMD-IV,EXISTING,129/PG0000/2024-S0,TRANSP. GAS,,7/23/2024,7/23/2024,12/31/2033,DONE,,,,,,
OSSA,PT PUPUK SRIWIDJAJA (Gas MEPI),PUSRI-MEPI,OSSA PUSRI-MEPI ,AMD-PPG,EXISTING,023/PG0000/2023-S0,TRANSP. GAS,,2/23/2023,2/23/2023,11/27/2033,DONE,,,,,,
OSSA,PT SARANA PEMBANGUNAN PALEMBANG,SP2J,OSSA SP2J ,AMD-II,EXISTING,204/PG0000/2020-S0,TRANSP. GAS,,8/10/2020,8/10/2020,12/31/2025,Terminate,,,,,Sudah tidak mengalir,
